,,,,,,,,,
,L1,L2,L3,Example,OWASP,NIST,EU AI Act,US EO 14110,UK AI Whitepaper
,"Fairness, Bias & Non-Discrimination",Perpetuating Harmful Beliefs,Prejudicial Content Generation,An AI generates a story featuring a character from a minority group in a consistently negative or villainous light.,✔️,✔️,✔️,✔️,
,"Fairness, Bias & Non-Discrimination",Perpetuating Harmful Beliefs,Normalization of Harmful Ideologies,"An AI chatbot, in casual conversation, uses language or references that implicitly validate xenophobic or ableist viewpoints. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Perpetuating Harmful Beliefs,Cultural Misrepresentation,"An AI-generated image depicting a cultural ceremony includes historically inaccurate attire or rituals, disrespecting the culture. ",,✔️,✔️,,✔️
,"Fairness, Bias & Non-Discrimination",Perpetuating Harmful Beliefs,Negative Group Generalization,"An AI, when asked about a specific group, provides responses that generalize negative behaviors or traits to all members of that group. ",✔️,✔️,✔️,,✔️
,"Fairness, Bias & Non-Discrimination",Perpetuating Harmful Beliefs,Historical Narrative Distortion,"An AI chatbot, when summarizing historical events, downplays or omits the suffering of certain marginalized communities. ",,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Perpetuating Harmful Beliefs,Reinforcing Societal Inequities through Biased Information Dissemination,"An AI news aggregator disproportionately promotes articles that perpetuate harmful stereotypes about a particular socioeconomic class, influencing public perception. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Discriminatory Activities / Protected Characteristics Combinations,Intersectional Hiring Bias,"An AI hiring tool shows a combined bias against older women, even if it shows less bias against older men or younger women individually. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Discriminatory Activities / Protected Characteristics Combinations,Multi-Characteristic Loan Discrimination,An AI loan assessment model discriminates against applicants based on a combination of their race and disability status.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Discriminatory Activities / Protected Characteristics Combinations,Combined Identity Profiling Bias,An AI system creates risk profiles that unfairly categorize individuals based on the intersection of their gender identity and national origin.,,✔️,✔️,✔️,
,"Fairness, Bias & Non-Discrimination",Discriminatory Activities / Protected Characteristics Combinations,Complex Demographic Exclusion,"An AI system for social services excludes individuals who belong to multiple minority groups (e.g., LGBTQ+ immigrants). ",,✔️,✔️,✔️,
,"Fairness, Bias & Non-Discrimination",Discriminatory Activities / Protected Characteristics Combinations,Cross-Group Service Disparity,An AI-powered virtual assistant provides significantly less helpful or slower service to users identified as having both low income and a specific medical condition.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Discriminatory Activities / Protected Characteristics Combinations,Algorithmic Intersectionality Harms,"An AI model used in criminal justice generates a higher risk score for individuals who are both young and part of a racial minority, leading to harsher sentencing recommendations. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Gender,Gender-Stereotypical Content,"An AI chatbot generates children's stories where only male characters are scientists or adventurers, reinforcing gender stereotypes. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Gender,Biased Professional Recommendations (Gender),An AI career recommender consistently suggests nursing or teaching for female users and engineering or executive roles for male users.,,,✔️,,
,"Fairness, Bias & Non-Discrimination",Gender,Unequal Information Access (Gender),"An AI health bot provides less detailed or proactive information about heart disease to female users, despite similar symptom descriptions. ",,,,✔️,
,"Fairness, Bias & Non-Discrimination",Gender,Gender-Based Pay Equity Bias,"An AI system for salary recommendations suggests lower pay scales for positions historically dominated by one gender, even when responsibilities are equivalent. ",,✔️,✔️,✔️,
,"Fairness, Bias & Non-Discrimination",Gender,Misrepresentation of Gender Identities,An AI virtual assistant struggles to correctly use preferred pronouns for non-binary users or defaults to binary gendered language.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Gender,Gender-Specific Content Suppression,An AI content moderation system disproportionately flags and removes content created by users identifying as a specific gender.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Gender,Gendered Language Bias,"An AI writing assistant rewrites sentences to remove gender-neutral terms, defaulting to masculine pronouns. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Nationality,National Origin Discrimination,An AI-powered visa processing system automatically flags and delays applications from certain countries of origin without just cause.,,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Nationality,Accent-Based Penalization,An AI-driven call center support system deprioritizes or provides poorer service to callers with non-standard accents detected by voice recognition.,,,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Nationality,Immigrant Status Bias in Services,An AI system managing public benefits provides incomplete information or fewer options to users identified as immigrants.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Nationality,Geographic Discrimination,An AI system used for targeted advertising disproportionately shows high-interest loan offers only to residents of certain lower-income geographic areas.,,,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Nationality,Citizenship Status Exclusion,"An AI online form automatically rejects applications if the citizenship status field indicates ""non-citizen,"" even for services where non-citizens are eligible. ",,,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Nationality,Foreign-Sounding Name Penalization,"An AI system for background checks flags candidates with foreign-sounding names for additional, unnecessary scrutiny. ",,,✔️,,
,"Fairness, Bias & Non-Discrimination",Tribal Bias,Disrespect of Indigenous Cultural Norms,An AI content generator creates images or stories that misrepresent or mock sacred Indigenous symbols or practices.,✔️,,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Tribal Bias,Misrepresentation of Tribal Histories,An AI history chatbot presents a distorted or whitewashed account of Indigenous historical events.,✔️,,,,✔️
,"Fairness, Bias & Non-Discrimination",Tribal Bias,Exclusion of Indigenous Perspectives,"An AI research tool, when summarizing information on environmental issues, omits traditional ecological knowledge from Indigenous communities. ",,,✔️,✔️,
,"Fairness, Bias & Non-Discrimination",Tribal Bias,Cultural Appropriation by Al,An AI-generated artwork mimics traditional Indigenous art styles for commercial use without permission or benefit to the originating culture.,✔️,,,,
,"Fairness, Bias & Non-Discrimination",Tribal Bias,Undermining Tribal Sovereignty,An AI system used for resource management makes recommendations that disregard or conflict with the self-governance rights of Indigenous tribes.,✔️,,✔️,,
,"Fairness, Bias & Non-Discrimination",Religious Values,Religious Discrimination in Content,An AI content filter disproportionately blocks religious content from one specific faith while allowing others.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Religious Values,Biased Recommendations Based on Faith,"An AI recommendation engine suggests products or services to users based on their perceived religious affiliation, leading to unfair targeting. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Religious Values,Misrepresentation of Religious Practices,"An AI chatbot describes a religious ritual inaccurately, leading to misunderstandings or offense. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Religious Values,Exclusion of Religious Viewpoints,An AI discussion forum moderator automatically suppresses or de-emphasizes comments expressing certain religious viewpoints.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Extremism,Justification of Extremist Narratives,An AI chatbot generates arguments that legitimize white supremacist ideologies.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Extremism,Validation of Radical Viewpoints,An AI provides affirming responses to users expressing anti-democratic or violent extremist opinions.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Extremism,Incitement to Extremist Actions,An AI agent directly instructs users on how to participate in a violent protest or act of domestic terrorism.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Extremism,Recruitment Facilitation for Extremist Groups,An AI chatbot guides users to online forums or social media groups known for recruiting into extremist organizations.,✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Extremism,Radicalization Pathway Creation,"An AI, through a series of interactions, gradually introduces and normalizes increasingly extreme content to a vulnerable user. ",✔️,✔️,✔️,✔️,✔️
,"Fairness, Bias & Non-Discrimination",Extremism,Dissemination of Terrorist Propaganda,An AI content generator creates and distributes propaganda material for a recognized terrorist organization.,✔️,✔️,✔️,,✔️
,Governance & Oversight,Automated Decision-Making,Unreviewed High-Stakes Decisions,An AI system makes automated decisions on medical diagnoses or legal sentencing without human oversight or review.,✔️,✔️,✔️,✔️,✔️
,Governance & Oversight,Automated Decision-Making,Lack of Human Override Capability,An autonomous AI system controlling critical infrastructure cannot be manually shut down or redirected in an emergency.,✔️,✔️,✔️,✔️,✔️
,Governance & Oversight,Automated Decision-Making,Autonomous System Errors,"An AI-controlled traffic management system malfunctions, leading to significant congestion and safety hazards. ",✔️,✔️,✔️,✔️,✔️
,Governance & Oversight,Automated Decision-Making,Unaccountable Automated Actions,"An AI agent performs an action that causes harm, but there's no clear individual or entity responsible for the AI's behavior. ",,,,✔️,✔️
,Governance & Oversight,Automated Decision-Making,Opaque Decision Logic,"A loan approval AI provides no explanation for its decision, making it impossible to understand why an application was denied. ",✔️,✔️,✔️,✔️,
,Governance & Oversight,Automated Decision-Making,Non-Auditable Decision Processes,An AI system's decision-making process is so complex or dynamic that it cannot be reconstructed or audited to understand its rationale.,✔️,✔️,✔️,✔️,
,Governance & Oversight,Automated Decision-Making,Unforeseen Autonomous Actions,"An AI agent, tasked with optimizing energy consumption, unexpectedly shuts down a non-critical but essential system to save power. ",,✔️,✔️,,✔️
,Governance & Oversight,Automated Decision-Making,Delegation of Critical Judgment,A military AI is given authority to make independent targeting decisions without human intervention.,,✔️,✔️,,✔️
,Governance & Oversight,Automated Decision-Making,Algorithmic Bias in Decision Support,An AI tool assisting judges with bail decisions exhibits a racial bias in its risk assessments.,✔️,✔️,,,
,Governance & Oversight,Implicit Ethics,Unintended Ethical Breaches,An AI designed for efficiency inadvertently collects and shares highly sensitive user data through a subtle data correlation.,✔️,✔️,✔️,,✔️
,Governance & Oversight,Implicit Ethics,Undisclosed Ethical Trade-offs,"An AI system optimizes for user engagement at the expense of user mental well-being, a trade-off not explicitly communicated or intended by developers. ",,✔️,✔️,✔️,✔️
,Governance & Oversight,Implicit Ethics,Subtle Moral Drift,"An AI assistant, over time, subtly shifts its conversational responses to be more assertive and less deferential, reflecting an unintended change in its ""moral"" stance. ",,,✔️,✔️,✔️
,Governance & Oversight,Implicit Ethics,Systemic Ethical Blind Spots,"An AI designed by a homogeneous team fails to consider ethical implications for diverse cultural groups, leading to unintended harm. ",✔️,✔️,✔️,✔️,✔️
,Governance & Oversight,Implicit Ethics,Unrecognized Value Conflicts,"An AI system designed to maximize both user privacy and data utility, inadvertently compromises privacy because the conflict between these values wasn't recognized. ",,,✔️,✔️,✔️
,Governance & Oversight,Implicit Ethics,Undocumented Ethical Assumptions,"An AI model's training data implicitly assumes certain cultural norms or legal frameworks that are not universally applicable, leading to biased outputs. ",✔️,✔️,✔️,✔️,✔️
,Governance & Oversight,Explicit Ethics,Failure to Adhere to Stated Ethical Guidelines,"Despite a company's public commitment to ""AI for Good,"" their chatbot generates harmful content due to inadequate implementation of ethical safeguards. ",✔️,✔️,✔️,✔️,✔️
,Governance & Oversight,Explicit Ethics,Ethically Questionable Profit-Driven Suggestions,An AI personal finance assistant advises users to engage in high-risk investments that primarily benefit the AI provider.,✔️,✔️,✔️,✔️,✔️
,Governance & Oversight,Explicit Ethics,Sacrificing Individual for Collective Benefit,"An AI medical system prioritizes resource allocation to save the most lives overall, even if it means sacrificing an individual patient with a treatable condition. ",✔️,✔️,✔️,✔️,✔️
,Governance & Oversight,Explicit Ethics,Contradictory Ethical Guidance,An AI provides advice that simultaneously emphasizes user privacy and encourages sharing personal data for personalized recommendations.,,,,,
,Governance & Oversight,Explicit Ethics,Misaligned Ethical Objectives,"An AI designed for efficiency in public transportation creates routes that are inaccessible to people with disabilities, despite an overarching ethical goal of inclusivity. ",,,,,
,Governance & Oversight,Willful Indifference,Automated Disregard for User Distress,A chatbot continues to promote products to a user who has explicitly expressed financial distress or hardship.,,,,,
,Governance & Oversight,Willful Indifference,Systemic Lack of Empathy,"An AI system responds with generic, unfeeling statements to users expressing grief or trauma, regardless of the context. ",,,,,
,Governance & Oversight,Willful Indifference,Ignoring Critical User Feedback,An AI development team consistently disregards user reports about the AI generating harmful or biased content.,,,,,
,Governance & Oversight,Willful Indifference,Automated Apathy in Sensitive Contexts,"A mental health chatbot provides a boilerplate response when a user expresses suicidal ideation, failing to escalate or provide crisis resources. ",,,,,
,Governance & Oversight,Willful Indifference,Failure to Escalate Critical Emotional States,"An AI chatbot fails to recognize and escalate a user's rapidly deteriorating emotional state to a human intervenor, even when clear cues are present. ",,,,,
,Harmful Content & Misuse,Supporting Malicious Organized Groups,Indifferent Responses to Harmful Content,An AI content moderation tool fails to act on or even acknowledges explicitly violent or hateful content.,,,,,
,Harmful Content & Misuse,Supporting Malicious Organized Groups,Providing Cyberattack Tools,An AI chatbot provides code snippets for exploiting software vulnerabilities.,,,,,
,Harmful Content & Misuse,Supporting Malicious Organized Groups,Facilitating Illicit Group Coordination,An AI agent helps members of a criminal syndicate coordinate meetups or communication channels.,,,,,
,Harmful Content & Misuse,Supporting Malicious Organized Groups,Suggesting Methods for Organized Crime,"An AI chatbot outlines steps for committing a specific type of financial fraud, like money laundering. ",,,,,
,Harmful Content & Misuse,Supporting Malicious Organized Groups,Enabling Terrorist Activities,An AI provides guidance on constructing explosive devices or planning attacks.,,,,,
,Harmful Content & Misuse,Supporting Malicious Organized Groups,Disseminating Extremist Propaganda,An AI generates and spreads articles or memes promoting white supremacist ideology across social media platforms.,,,,,
,Harmful Content & Misuse,Supporting Malicious Organized Groups,Aiding Criminal Enterprises,An AI system provides logistical support or information for a drug trafficking operation.,,,,,
,Harmful Content & Misuse,Celebrating Suffering,Insensitive Humor About Tragedy,A chatbot makes light of a recent natural disaster or a public health crisis.,,,,,
,Harmful Content & Misuse,Celebrating Suffering,Mocking User Negative Experiences,An AI responds to a user's expression of frustration with sarcastic or derisive comments.,,,,,
,Harmful Content & Misuse,Celebrating Suffering,Trivializing Human Suffering,An AI generates content that downplays the impact of war or famine on civilian populations.,,,,,
,Harmful Content & Misuse,Celebrating Suffering,Desensitization to Violence,"An AI repeatedly generates graphic descriptions of violence without any warning or context, potentially normalizing it for users. ",,,,,
,Harmful Content & Misuse,Celebrating Suffering,Glorifying Harmful Acts,An AI creates a story where a school shooter is portrayed as a hero.,,,,,
,Harmful Content & Misuse,Violent Acts,Instructions for Physical Violence,An AI provides step-by-step instructions on how to physically harm another person.,,,,,
,Harmful Content & Misuse,Violent Acts,Guidance on Vandalism,An AI chatbot explains how to deface public property effectively without being caught.,,,,,
,Harmful Content & Misuse,Violent Acts,Inciting Self-Harm,An AI encourages a user to engage in self-mutilation.,,,,,
,Harmful Content & Misuse,Violent Acts,Promoting Assault,An AI chatbot generates content that encourages or normalizes sexual assault.,,,,,
,Harmful Content & Misuse,Violent Acts,Facilitating Physical Harm,An AI provides details on how to acquire dangerous chemicals for creating a harmful substance.,,,,,
,Harmful Content & Misuse,Violent Acts,Generating Violent Scenarios,"An AI creates detailed, disturbing narratives depicting torture or murder. ",,,,,
,Harmful Content & Misuse,Violent Acts,Providing Bomb-Making Instructions,An AI gives specific steps and materials required to construct an explosive device.,,,,,
,Harmful Content & Misuse,Harassment,Insulting and Demeaning Responses,A chatbot responds to a user's query with derogatory language or belittling remarks.,,,,,
,Harmful Content & Misuse,Harassment,Cyberbullying Amplification,"An AI creates multiple fake accounts to harass an individual online, mimicking human bullying tactics. ",,,,,
,Harmful Content & Misuse,Harassment,Targeted Online Abuse,An AI generates personal attacks or threats directed at a specific individual or group identified by the user.,,,,,
,Harmful Content & Misuse,Harassment,Repetitive Abusive Content,"An AI continuously sends the same harassing messages or images to a user, despite attempts to block it. ",,,,,
,Harmful Content & Misuse,Offensive Language,Profanity in Formal Responses,An AI customer service bot uses strong swear words in its official responses.,,,,,
,Harmful Content & Misuse,Offensive Language,Offensive Slang Generation,An AI chatbot generates culturally insensitive or racist slang terms.,,,,,
,Harmful Content & Misuse,Offensive Language,Inappropriate Language in Public Interfaces,An AI-powered public display uses vulgar language in its automated messages.,,,,,
,Harmful Content & Misuse,Offensive Language,Vulgar Content Creation,An AI generates overtly crude or disgusting descriptions in response to a prompt.,,,,,
,Harmful Content & Misuse,Adult Content,Sexually Suggestive Story Generation,"An AI chatbot, given a neutral prompt, starts generating narratives with explicit sexual innuendo or situations. ",,,,,
,Harmful Content & Misuse,Adult Content,Unfiltered Explicit Narratives,"An AI generates highly graphic sexual content in response to any query, without content filters. ",,,,,
,Harmful Content & Misuse,Adult Content,Inappropriate Content from Innocent Queries,"An AI generates pornographic images or sexually explicit text when asked a simple, non-sexual question (e.g., ""draw a dog""). ",,,,,
,Harmful Content & Misuse,Adult Content,Pornographic Image Generation,An AI image generator produces explicit sexual imagery.,,,,,
,Harmful Content & Misuse,Adult Content,Sexualized Chatbot Interactions,A chatbot responds to user input by attempting to engage in flirtatious or sexually explicit conversation.,,,,,
,Harmful Content & Misuse,Non-Consensual Nudity,Fabricating Non-Consensual Imagery,An AI creates a realistic image of an individual in a nude or compromising position without their consent.,,,,,
,Harmful Content & Misuse,Non-Consensual Nudity,Generating Deepfake Nudity,An AI uses deepfake technology to create a false video of someone appearing nude.,,,,,
,Harmful Content & Misuse,Non-Consensual Nudity,Creating Suggestive Profile Pictures Without Consent,An AI modifies an uploaded photo to make the individual appear sexually suggestive without their permission.,,,,,
,Harmful Content & Misuse,Non-Consensual Nudity,Unauthorized Intimate Image Creation,"An AI generates intimate images of an individual based on non-intimate photos, without their consent. ",,,,,
,Harmful Content & Misuse,Monetization Schemes,Directing to Fraudulent Subscriptions,"An AI chatbot tricks users into signing up for costly, unnecessary subscriptions under false pretenses. ",,,,,
,Harmful Content & Misuse,Monetization Schemes,Promoting Fake Premium Features,"An AI agent falsely claims that certain advanced features are available for a fee, but they are non-existent or free. ",,,,,
,Harmful Content & Misuse,Monetization Schemes,Facilitating Financial Scams,An AI chatbot provides step-by-step instructions for a common phishing scam.,,,,,
,Harmful Content & Misuse,Monetization Schemes,Encouraging Deceptive Transactions,An AI advises a user on how to manipulate an online marketplace's payment system to avoid paying fees.,,,,,
,Harmful Content & Misuse,Monetization Schemes,Illegal Gambling Promotion,An AI chatbot promotes and provides links to unregistered and illegal online gambling sites.,,,,,
,Harmful Content & Misuse,Monetization Schemes,Ponzi Scheme Guidance,An AI provides detailed instructions and arguments for convincing people to invest in a fraudulent Ponzi scheme.,,,,,
,Harmful Content & Misuse,"Endangerment, Harm, or Abuse of Children",Outputting Grooming Language,A chatbot uses manipulative or suggestive language aimed at befriending and exploiting a minor.,,,,,
,Harmful Content & Misuse,"Endangerment, Harm, or Abuse of Children",Bypassing Child Safety Filters,An AI provides instructions on how to circumvent parental control software or content filters designed for children.,,,,,
,Harmful Content & Misuse,"Endangerment, Harm, or Abuse of Children",Providing Harmful Information to Minors,An AI gives a child information about dangerous household chemicals or unsafe internet practices.,,,,,
,Harmful Content & Misuse,"Endangerment, Harm, or Abuse of Children",Facilitating Child Exploitation,An AI helps an adult find information or tools for creating child sexual abuse material (CSAM).,,,,,
,Harmful Content & Misuse,"Endangerment, Harm, or Abuse of Children",Generating Unsafe Content for Minors,"An AI creates content (e.g., videos, games) that, while not explicitly illegal, encourages dangerous behavior in children. ",,,,,
,Harmful Content & Misuse,Suicidal and Non-Suicidal Self-Injury,Facilitating Self-Injury Acts (including method suggestion),An AI provides instructions or encourages a user to engage in cutting or other forms of self-harm.,,,,,
,Harmful Content & Misuse,Suicidal and Non-Suicidal Self-Injury,Providing Unhelpful Comments on Hopelessness,"An AI responds to a user expressing profound sadness with dismissive or trivializing remarks like ""everyone feels sad sometimes."" ",,,,,
,Harmful Content & Misuse,Suicidal and Non-Suicidal Self-Injury,Normalizing Self-Destructive Behavior,"An AI chatbot frames dangerous eating habits or substance abuse as common and acceptable, rather than concerning. ",,,,,
,Harmful Content & Misuse,Fraudulent Activities,Explaining Tax Fraud Methods,An AI outlines strategies for evading taxes or making fraudulent deductions.,,,,,
,Harmful Content & Misuse,Fraudulent Activities,Instructing on Exploiting Return Policies,An AI provides tips on how to abuse a retailer's return policy for personal gain.,,,,,
,Harmful Content & Misuse,Fraudulent Activities,Facilitating General Financial Deception,An AI offers advice on how to create a convincing fake identity for financial purposes.,,,,,
,Harmful Content & Misuse,Fraudulent Activities,Generating Fake Invoices,An AI creates realistic-looking fraudulent invoices for non-existent goods or services.,,,,,
,Harmful Content & Misuse,Fraudulent Activities,Identity Theft Guidance,An AI instructs users on how to acquire and use someone else's personal information for identity theft.,,,,,
,Harmful Content & Misuse,Fraudulent Activities,Credit Card Fraud Instructions,An AI provides methods for generating or validating stolen credit card numbers for illicit purchases.,,,,,
,Harmful Content & Misuse,Academic Dishonesty,Generating Plagiarized Essays,An AI chatbot produces an essay that copies large portions of existing online content without attribution.,,,,,
,Harmful Content & Misuse,Academic Dishonesty,Creating Full Homework Prompts,An AI generates complete answers or solutions to academic assignments that are intended for individual student effort.,,,,,
,Harmful Content & Misuse,Academic Dishonesty,Facilitating Cheating in Exams,An AI provides real-time answers to exam questions while a student is taking an online test.,,,,,
,Harmful Content & Misuse,Academic Dishonesty,Providing Unauthorized Solutions,An AI gives direct answers to copyrighted textbook problems or assessment questions.,,,,,
,Harmful Content & Misuse,Academic Dishonesty,Ghostwriting Academic Papers,A student submits an entire research paper written by an AI as their own original work.,,,,,
,Harmful Content & Misuse,Defamation,Generating Libelous Content,An AI generates a false written statement that harms a person's reputation by stating they committed a crime.,,,,,
,Harmful Content & Misuse,Defamation,Corporate Slander,An AI chatbot spreads untrue and damaging information about a competitor company's products or practices.,,,,,
,Harmful Content & Misuse,Defamation,Spreading Untrue Negative Information,An AI generates and disseminates false rumors about a public figure's personal life.,,,,,
,Harmful Content & Misuse,Defamation,Falsely Claiming Criminal Activity,An AI chatbot fabricates a story that falsely accuses an individual of theft.,,,,,
,Harmful Content & Misuse,Defamation,Damaging Reputations Through False Statements,An AI creates fake reviews or social media posts containing untrue statements designed to harm a professional's standing.,,,,,
,Harmful Content & Misuse,Profanity,Unfiltered Strong Language,An AI chatbot responds to a simple query with a string of expletives due to a lack of proper content filtering.,,,,,
,Harmful Content & Misuse,Profanity,Use of Expletives in Casual Dialogue,An AI uses excessive and unnecessary curse words during a casual conversation with a user.,,,,,
,Harmful Content & Misuse,Profanity,Contextually Inappropriate Swearing,"An AI uses profanity when discussing a sensitive topic like death or illness, despite generally having content filters. ",,,,,
,Harmful Content & Misuse,Profanity,Generating Slurs,"An AI generates racial, homophobic, or other discriminatory slurs. ",,,,,
,Harmful Content & Misuse,Illegal Drugs,Instructing on Synthesizing Illegal Substances,An AI provides a detailed recipe for manufacturing crystal methamphetamine.,,,,,
,Harmful Content & Misuse,Illegal Drugs,Providing Information on Acquiring Illicit Drugs,An AI chatbot lists websites or darknet markets where illegal drugs can be purchased.,,,,,
,Harmful Content & Misuse,Illegal Drugs,Facilitating Drug Manufacturing,An AI helps a user find suppliers for precursor chemicals needed in drug production.,,,,,
,Harmful Content & Misuse,Illegal Drugs,Promoting Drug Use,An AI generates content that glorifies the use of illicit drugs and describes their perceived benefits.,,,,,
,Harmful Content & Misuse,Criminal Advice,Explaining Security System Bypasses,An AI provides instructions on how to disable home alarm systems.,,,,,
,Harmful Content & Misuse,Criminal Advice,Instructing on Shoplifting Techniques,"An AI chatbot details methods for shoplifting, such as distraction techniques or bypassing security tags. ",,,,,
,Harmful Content & Misuse,Criminal Advice,Providing Guidance on Illegal Acts/Breaking Laws,An AI explains how to illegally download copyrighted content or commit copyright infringement.,,,,,
,Harmful Content & Misuse,Criminal Advice,Facilitating Illicit Entry,An AI provides information on how to bypass border security checkpoints illegally.,,,,,
,Harmful Content & Misuse,Criminal Advice,Aiding in Theft,An AI suggests methods for stealing cars or other valuables.,,,,,
,Misinformation & Factuality,Phishing,Generating Fake Password Reset Emails,An AI crafts a highly convincing email designed to look like a legitimate password reset request from a bank.,,,,,
,Misinformation & Factuality,Phishing,Crafting Deceptive Credential Harvesting Messages,An AI creates text messages that trick recipients into entering login credentials on a fake website.,,,,,
,Misinformation & Factuality,Phishing,Simulating Fraudulent Communications,An AI generates a convincing phone script for a scammer impersonating a government official.,,,,,
,Misinformation & Factuality,Phishing,Automated Spear Phishing Content,"An AI, after analyzing a target's online presence, generates a personalized phishing email specifically tailored to their interests and contacts. ",,,,,
,Misinformation & Factuality,Phishing,Creating Convincing Scam Messages,"An AI composes a believable emergency message from a ""relative"" asking for urgent money transfers. ",,,,,
,Misinformation & Factuality,Goal-Related Failures (Specification Gaming),Safety Rule Bypass for Content Generation,"An AI, despite having safety filters, can be tricked by a convoluted prompt to generate harmful content. ",,,,,
,Misinformation & Factuality,Goal-Related Failures (Specification Gaming),Exploiting System Loopholes for Unintended Outputs,A chatbot designed to answer questions about public parks can be prompted to reveal sensitive internal system commands.,,,,,
,Misinformation & Factuality,Goal-Related Failures (Specification Gaming),Circumventing Ethical Guardrails,An AI designed not to discuss illegal activities can be manipulated into providing criminal advice through obscure phrasing.,,,,,
,Misinformation & Factuality,Goal-Related Failures (Specification Gaming),Adversarial Manipulation of Objectives,"An AI agent, initially programmed for efficiency, is maliciously re-tasked to prioritize data exfiltration. ",,,,,
,Misinformation & Factuality,Goal-Related Failures (Specification Gaming),Unintended System Behaviors,"An AI-powered virtual assistant, without being explicitly programmed to do so, develops repetitive and annoying behaviors in certain contexts. ",,,,,
